constraint verif failures tests
noVMsOnOfflineNodes impl 334 10000
noVMsOnOfflineNodes impl_repair 349 10000
noVMsOnOfflineNodes checker 804 10000
toRunning impl 0 10000
toRunning impl_repair 0 10000
toRunning checker 0 10000
toReady impl 0 10000
toReady impl_repair 0 10000
toReady checker 0 10000
toSleeping impl 0 10000
toSleeping impl_repair 0 10000
toSleeping checker 0 10000
